sample,fastq_1,fastq_2,strandedness
SRX7222823,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222823_SRR10539046.fastq.gz,,auto
SRX7222824,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222824_SRR10539045.fastq.gz,,auto
SRX7222825,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222825_SRR10539044.fastq.gz,,auto
SRX7222826,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222826_SRR10539043.fastq.gz,,auto
SRX7222827,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222827_SRR10539042.fastq.gz,,auto
SRX7222828,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222828_SRR10539041.fastq.gz,,auto
SRX7222829,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222829_SRR10539040.fastq.gz,,auto
SRX7222830,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222830_SRR10539039.fastq.gz,,auto
SRX7222831,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222831_SRR10539038.fastq.gz,,auto
SRX7222832,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222832_SRR10539037.fastq.gz,,auto
SRX7222833,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222833_SRR10539036_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222833_SRR10539036_2.fastq.gz,auto
SRX7222834,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222834_SRR10539035_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222834_SRR10539035_2.fastq.gz,auto
SRX7222835,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222835_SRR10539034.fastq.gz,,auto
SRX7222836,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222836_SRR10539033_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222836_SRR10539033_2.fastq.gz,auto
SRX7222837,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222837_SRR10539032_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222837_SRR10539032_2.fastq.gz,auto
SRX7222838,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222838_SRR10539031_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222838_SRR10539031_2.fastq.gz,auto
SRX7222839,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222839_SRR10539030_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222839_SRR10539030_2.fastq.gz,auto
SRX7222840,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222840_SRR10539029.fastq.gz,,auto
SRX7222841,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222841_SRR10539028.fastq.gz,,auto
SRX7222842,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222842_SRR10539027.fastq.gz,,auto
SRX7222843,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222843_SRR10539026.fastq.gz,,auto
SRX7222844,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222844_SRR10539025.fastq.gz,,auto
SRX7222845,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222845_SRR10539024.fastq.gz,,auto
SRX7222846,/work/zarski/arabid_tiwari/skripts/fastq/SRX7222846_SRR10539023.fastq.gz,,auto
SRX7734280,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734280_SRR11095472_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734280_SRR11095472_2.fastq.gz,auto
SRX7734281,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734281_SRR11095471_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734281_SRR11095471_2.fastq.gz,auto
SRX7734282,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734282_SRR11095470_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734282_SRR11095470_2.fastq.gz,auto
SRX7734283,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734283_SRR11095469_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734283_SRR11095469_2.fastq.gz,auto
SRX7734284,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734284_SRR11095468_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734284_SRR11095468_2.fastq.gz,auto
SRX7734285,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734285_SRR11095467_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734285_SRR11095467_2.fastq.gz,auto
SRX7734286,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734286_SRR11095466_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734286_SRR11095466_2.fastq.gz,auto
SRX7734287,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734287_SRR11095465_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734287_SRR11095465_2.fastq.gz,auto
SRX7734288,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734288_SRR11095464_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734288_SRR11095464_2.fastq.gz,auto
SRX7734289,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734289_SRR11095463_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734289_SRR11095463_2.fastq.gz,auto
SRX7734290,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734290_SRR11095462_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734290_SRR11095462_2.fastq.gz,auto
SRX7734291,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734291_SRR11095461_1.fastq.gz,/work/zarski/arabid_tiwari/skripts/fastq/SRX7734291_SRR11095461_2.fastq.gz,auto
